Date,Time,Global_active_power
16/12/2006,17:24:00,1.812
16/12/2006,17:25:00,3.851
16/12/2006,17:26:00,5.112
16/12/2006,17:27:00,1.279
16/12/2006,17:28:00,5.086
16/12/2006,17:29:00,1.393
16/12/2006,17:30:00,4.197
16/12/2006,17:31:00,4.137
16/12/2006,17:32:00,3.005
16/12/2006,17:33:00,2.394
16/12/2006,17:34:00,1.631
16/12/2006,17:35:00,0.728
16/12/2006,17:36:00,0.647
16/12/2006,17:37:00,0.25566091680706055
16/12/2006,17:38:00,1.45
16/12/2006,17:39:00,5.194
16/12/2006,17:40:00,0.624
16/12/2006,17:41:00,3.555
16/12/2006,17:42:00,1.533
16/12/2006,17:43:00,0.603
16/12/2006,17:44:00,0.7524958876448495
16/12/2006,17:45:00,4.365
16/12/2006,17:46:00,4.747
16/12/2006,17:47:00,3.951
16/12/2006,17:48:00,4.589
16/12/2006,17:49:00,0.7074472172776127
16/12/2006,17:50:00,2.304
16/12/2006,17:51:00,4.538
16/12/2006,17:52:00,5.017
16/12/2006,17:53:00,2.3331887020456823
16/12/2006,17:54:00,0.756
16/12/2006,17:55:00,4.832
16/12/2006,17:56:00,3.833
16/12/2006,17:57:00,2.675
16/12/2006,17:58:00,4.068
16/12/2006,17:59:00,0.7247377679408821
16/12/2006,18:00:00,3.548
16/12/2006,18:01:00,4.769
16/12/2006,18:02:00,2.523
16/12/2006,18:03:00,1.658
16/12/2006,18:04:00,1.617
16/12/2006,18:05:00,4.773
16/12/2006,18:06:00,3.222
16/12/2006,18:07:00,1.638
16/12/2006,18:08:00,0.532
16/12/2006,18:09:00,5.104
16/12/2006,18:10:00,0.597
16/12/2006,18:11:00,0.658
16/12/2006,18:12:00,1.193
16/12/2006,18:13:00,1.746
16/12/2006,18:14:00,4.281
16/12/2006,18:15:00,1.677
16/12/2006,18:16:00,1.778
16/12/2006,18:17:00,2.249
16/12/2006,18:18:00,0.7547485831947722
16/12/2006,18:19:00,0.996
16/12/2006,18:20:00,1.339
16/12/2006,18:21:00,3.555
